epoch: 86, train loss: 7.7623e-03, train psnr: 39.31
epoch: 87, train loss: 8.2445e-03, train psnr: 38.78
epoch: 88, train loss: 8.1119e-03, train psnr: 38.84
epoch: 89, train loss: 7.8926e-03, train psnr: 39.65
epoch: 90, train loss: 8.3609e-03, train psnr: 38.42
epoch: 90, val psnr: 38.90, val ssim: 0.9291
epoch: 91, train loss: 8.2010e-03, train psnr: 39.32
epoch: 92, train loss: 9.1421e-03, train psnr: 38.51
epoch: 93, train loss: 8.3552e-03, train psnr: 39.11
epoch: 94, train loss: 7.8923e-03, train psnr: 39.35
epoch: 95, train loss: 8.1562e-03, train psnr: 38.94
epoch: 95, val psnr: 40.40, val ssim: 0.9422
epoch: 96, train loss: 8.4594e-03, train psnr: 38.83
epoch: 97, train loss: 8.6140e-03, train psnr: 38.61
epoch: 98, train loss: 8.4750e-03, train psnr: 38.86
epoch: 99, train loss: 8.7650e-03, train psnr: 38.65
epoch: 100, train loss: 8.1610e-03, train psnr: 39.33
epoch: 100, val psnr: 40.07, val ssim: 0.9439
epoch: 101, train loss: 8.4665e-03, train psnr: 38.89
epoch: 102, train loss: 8.1827e-03, train psnr: 38.77
epoch: 103, train loss: 8.3952e-03, train psnr: 38.84
epoch: 104, train loss: 7.6762e-03, train psnr: 39.68
epoch: 105, train loss: 7.3097e-03, train psnr: 40.13
epoch: 105, val psnr: 39.79, val ssim: 0.9395
epoch: 106, train loss: 8.1497e-03, train psnr: 38.89
epoch: 107, train loss: 8.1444e-03, train psnr: 38.79
epoch: 108, train loss: 7.7920e-03, train psnr: 39.65
epoch: 109, train loss: 8.1628e-03, train psnr: 39.20
epoch: 110, train loss: 8.8323e-03, train psnr: 38.53
epoch: 110, val psnr: 40.18, val ssim: 0.9490
epoch: 111, train loss: 8.5694e-03, train psnr: 38.78
epoch: 112, train loss: 8.8543e-03, train psnr: 38.63
epoch: 113, train loss: 7.4770e-03, train psnr: 39.86
epoch: 114, train loss: 8.3349e-03, train psnr: 39.01
epoch: 115, train loss: 7.5064e-03, train psnr: 39.88
epoch: 115, val psnr: 41.82, val ssim: 0.9563
best epoch: 115, val psnr: 41.82, saved
epoch: 116, train loss: 7.9433e-03, train psnr: 39.37
epoch: 117, train loss: 7.9037e-03, train psnr: 39.21
epoch: 118, train loss: 8.0629e-03, train psnr: 39.29
epoch: 119, train loss: 8.5770e-03, train psnr: 38.58
epoch: 120, train loss: 8.3666e-03, train psnr: 38.74
epoch: 120, val psnr: 40.61, val ssim: 0.9415
epoch: 121, train loss: 7.8861e-03, train psnr: 39.45
epoch: 122, train loss: 8.0692e-03, train psnr: 39.18
epoch: 123, train loss: 7.7086e-03, train psnr: 39.52
epoch: 124, train loss: 7.8563e-03, train psnr: 39.22
epoch: 125, train loss: 7.6731e-03, train psnr: 39.19
epoch: 125, val psnr: 40.36, val ssim: 0.9389
epoch: 126, train loss: 7.8317e-03, train psnr: 39.48
epoch: 127, train loss: 7.8398e-03, train psnr: 39.54
epoch: 128, train loss: 7.3154e-03, train psnr: 40.02
epoch: 129, train loss: 7.8567e-03, train psnr: 39.82
epoch: 130, train loss: 8.3162e-03, train psnr: 39.01
epoch: 130, val psnr: 41.35, val ssim: 0.9497
epoch: 131, train loss: 8.0011e-03, train psnr: 39.25
epoch: 132, train loss: 7.9992e-03, train psnr: 39.28
epoch: 133, train loss: 7.8436e-03, train psnr: 39.50
epoch: 134, train loss: 7.9343e-03, train psnr: 39.48
epoch: 135, train loss: 7.2898e-03, train psnr: 40.06
epoch: 135, val psnr: 41.15, val ssim: 0.9484
epoch: 136, train loss: 7.6486e-03, train psnr: 39.47
epoch: 137, train loss: 7.0264e-03, train psnr: 39.96
epoch: 138, train loss: 8.0044e-03, train psnr: 39.26
epoch: 139, train loss: 7.6281e-03, train psnr: 39.80
epoch: 140, train loss: 7.9527e-03, train psnr: 39.21
epoch: 140, val psnr: 41.87, val ssim: 0.9584
best epoch: 140, val psnr: 41.87, saved
epoch: 141, train loss: 7.2036e-03, train psnr: 40.33
epoch: 142, train loss: 7.6719e-03, train psnr: 39.56
epoch: 143, train loss: 7.3824e-03, train psnr: 40.04
epoch: 144, train loss: 7.3435e-03, train psnr: 39.95
epoch: 145, train loss: 6.8780e-03, train psnr: 40.52
epoch: 145, val psnr: 41.00, val ssim: 0.9474
epoch: 146, train loss: 7.5434e-03, train psnr: 39.66
epoch: 147, train loss: 7.6118e-03, train psnr: 39.91
epoch: 148, train loss: 8.1318e-03, train psnr: 39.48
epoch: 149, train loss: 7.4177e-03, train psnr: 39.79
epoch: 150, train loss: 6.9961e-03, train psnr: 40.47
epoch: 150, val psnr: 40.41, val ssim: 0.9402
epoch: 151, train loss: 6.7522e-03, train psnr: 40.60
epoch: 152, train loss: 7.9742e-03, train psnr: 39.68
epoch: 153, train loss: 7.3263e-03, train psnr: 40.24
epoch: 154, train loss: 7.1640e-03, train psnr: 40.25
epoch: 155, train loss: 6.8745e-03, train psnr: 40.49
epoch: 155, val psnr: 41.05, val ssim: 0.9484
epoch: 156, train loss: 8.0573e-03, train psnr: 39.21
epoch: 157, train loss: 7.5601e-03, train psnr: 39.76
epoch: 158, train loss: 7.9471e-03, train psnr: 39.17
epoch: 159, train loss: 7.9610e-03, train psnr: 39.25
epoch: 160, train loss: 8.1336e-03, train psnr: 39.56
epoch: 160, val psnr: 41.37, val ssim: 0.9524
epoch: 161, train loss: 6.9123e-03, train psnr: 40.41
epoch: 162, train loss: 8.5798e-03, train psnr: 38.84
epoch: 163, train loss: 7.2244e-03, train psnr: 40.07
epoch: 164, train loss: 7.4193e-03, train psnr: 39.77
epoch: 165, train loss: 7.0609e-03, train psnr: 40.31
epoch: 165, val psnr: 41.25, val ssim: 0.9461
epoch: 166, train loss: 7.2615e-03, train psnr: 40.07
epoch: 167, train loss: 7.5041e-03, train psnr: 39.62
epoch: 168, train loss: 7.1709e-03, train psnr: 40.51
epoch: 169, train loss: 7.5008e-03, train psnr: 39.58
epoch: 170, train loss: 7.9174e-03, train psnr: 39.76
epoch: 170, val psnr: 41.01, val ssim: 0.9490
epoch: 171, train loss: 7.5967e-03, train psnr: 39.91
epoch: 172, train loss: 8.1881e-03, train psnr: 39.42
epoch: 173, train loss: 7.4272e-03, train psnr: 40.24
epoch: 174, train loss: 7.5585e-03, train psnr: 39.86
epoch: 175, train loss: 7.1692e-03, train psnr: 40.32
epoch: 175, val psnr: 41.02, val ssim: 0.9512
epoch: 176, train loss: 7.0127e-03, train psnr: 40.05
epoch: 177, train loss: 7.4400e-03, train psnr: 39.90
epoch: 178, train loss: 7.2196e-03, train psnr: 40.47
epoch: 179, train loss: 7.6459e-03, train psnr: 39.42
epoch: 180, train loss: 7.6169e-03, train psnr: 39.89
epoch: 180, val psnr: 41.16, val ssim: 0.9481
epoch: 181, train loss: 7.2491e-03, train psnr: 40.08
epoch: 182, train loss: 6.9118e-03, train psnr: 40.54
epoch: 183, train loss: 7.4738e-03, train psnr: 40.10
epoch: 184, train loss: 8.3268e-03, train psnr: 39.28
epoch: 185, train loss: 7.3198e-03, train psnr: 40.05
epoch: 185, val psnr: 42.02, val ssim: 0.9546
best epoch: 185, val psnr: 42.02, saved
epoch: 186, train loss: 7.5502e-03, train psnr: 39.41
epoch: 187, train loss: 7.9805e-03, train psnr: 39.00
epoch: 188, train loss: 7.9785e-03, train psnr: 39.40
epoch: 189, train loss: 7.7085e-03, train psnr: 39.44
epoch: 190, train loss: 7.0315e-03, train psnr: 40.25
epoch: 190, val psnr: 41.53, val ssim: 0.9487
epoch: 191, train loss: 7.4973e-03, train psnr: 40.02
epoch: 192, train loss: 7.0790e-03, train psnr: 40.91
epoch: 193, train loss: 7.6862e-03, train psnr: 39.85
epoch: 194, train loss: 7.1109e-03, train psnr: 40.12
epoch: 195, train loss: 7.2972e-03, train psnr: 40.29
epoch: 195, val psnr: 41.66, val ssim: 0.9490
epoch: 196, train loss: 7.5173e-03, train psnr: 40.14
epoch: 197, train loss: 7.3352e-03, train psnr: 40.15
epoch: 198, train loss: 6.7840e-03, train psnr: 40.52
epoch: 199, train loss: 8.0251e-03, train psnr: 39.20
epoch: 200, train loss: 7.0210e-03, train psnr: 40.42
epoch: 200, val psnr: 40.84, val ssim: 0.9486
epoch: 201, train loss: 7.4933e-03, train psnr: 39.68
epoch: 202, train loss: 7.2539e-03, train psnr: 40.49
epoch: 203, train loss: 7.2687e-03, train psnr: 40.23
epoch: 204, train loss: 7.1921e-03, train psnr: 39.78
epoch: 205, train loss: 7.0788e-03, train psnr: 40.43
epoch: 205, val psnr: 41.37, val ssim: 0.9489
epoch: 206, train loss: 7.2277e-03, train psnr: 40.13
epoch: 207, train loss: 7.1934e-03, train psnr: 40.29
epoch: 208, train loss: 7.1867e-03, train psnr: 40.15
epoch: 209, train loss: 7.5522e-03, train psnr: 39.71
epoch: 210, train loss: 7.6533e-03, train psnr: 39.73
epoch: 210, val psnr: 42.17, val ssim: 0.9551
best epoch: 210, val psnr: 42.17, saved
epoch: 211, train loss: 7.8003e-03, train psnr: 39.40
epoch: 212, train loss: 7.1833e-03, train psnr: 40.20
epoch: 213, train loss: 7.3186e-03, train psnr: 40.34
epoch: 214, train loss: 7.2128e-03, train psnr: 40.19
epoch: 215, train loss: 7.6311e-03, train psnr: 39.69
epoch: 215, val psnr: 41.65, val ssim: 0.9482
epoch: 216, train loss: 7.2897e-03, train psnr: 40.78
epoch: 217, train loss: 7.5491e-03, train psnr: 39.99
epoch: 218, train loss: 7.7806e-03, train psnr: 39.77
epoch: 219, train loss: 7.7458e-03, train psnr: 39.76
epoch: 220, train loss: 7.5912e-03, train psnr: 40.06
epoch: 220, val psnr: 41.35, val ssim: 0.9456
epoch: 221, train loss: 7.5720e-03, train psnr: 39.78
epoch: 222, train loss: 7.7869e-03, train psnr: 39.50
epoch: 223, train loss: 6.8556e-03, train psnr: 40.67
epoch: 224, train loss: 7.0211e-03, train psnr: 40.52
epoch: 225, train loss: 6.9809e-03, train psnr: 40.52
epoch: 225, val psnr: 40.63, val ssim: 0.9441
epoch: 226, train loss: 6.8487e-03, train psnr: 40.57
epoch: 227, train loss: 7.9964e-03, train psnr: 39.35
epoch: 228, train loss: 7.2465e-03, train psnr: 40.46
epoch: 229, train loss: 7.2382e-03, train psnr: 40.07
epoch: 230, train loss: 7.1834e-03, train psnr: 39.94
epoch: 230, val psnr: 40.70, val ssim: 0.9465
epoch: 231, train loss: 7.6605e-03, train psnr: 39.62
epoch: 232, train loss: 7.1281e-03, train psnr: 39.87
epoch: 233, train loss: 7.3167e-03, train psnr: 39.80
epoch: 234, train loss: 7.8386e-03, train psnr: 39.61
epoch: 235, train loss: 6.6484e-03, train psnr: 40.37
epoch: 235, val psnr: 41.57, val ssim: 0.9523
epoch: 236, train loss: 7.3031e-03, train psnr: 39.91
epoch: 237, train loss: 7.6869e-03, train psnr: 39.93
epoch: 238, train loss: 7.5902e-03, train psnr: 39.56
epoch: 239, train loss: 7.2667e-03, train psnr: 40.30
epoch: 240, train loss: 7.5068e-03, train psnr: 40.08
epoch: 240, val psnr: 41.68, val ssim: 0.9478
epoch: 241, train loss: 7.2213e-03, train psnr: 40.41
epoch: 242, train loss: 7.6457e-03, train psnr: 39.47
epoch: 243, train loss: 6.9235e-03, train psnr: 40.27
epoch: 244, train loss: 6.9319e-03, train psnr: 40.25
epoch: 245, train loss: 6.7942e-03, train psnr: 40.45
epoch: 245, val psnr: 42.06, val ssim: 0.9532
epoch: 246, train loss: 7.0086e-03, train psnr: 40.37
epoch: 247, train loss: 6.6504e-03, train psnr: 40.67
epoch: 248, train loss: 7.0894e-03, train psnr: 40.11
epoch: 249, train loss: 7.2911e-03, train psnr: 40.10
epoch: 250, train loss: 6.7391e-03, train psnr: 40.75
epoch: 250, val psnr: 41.81, val ssim: 0.9524
epoch: 251, train loss: 6.6059e-03, train psnr: 40.50
epoch: 252, train loss: 6.6608e-03, train psnr: 40.70
epoch: 253, train loss: 6.5407e-03, train psnr: 41.21
epoch: 254, train loss: 6.5403e-03, train psnr: 40.80
epoch: 255, train loss: 6.7409e-03, train psnr: 40.86
