epoch: 84, train loss: 8.0099e-03, train psnr: 39.45
epoch: 85, train loss: 7.9900e-03, train psnr: 39.26
epoch: 85, val psnr: 40.74, val ssim: 0.9436
epoch: 86, train loss: 7.4429e-03, train psnr: 39.80
epoch: 87, train loss: 7.7681e-03, train psnr: 39.43
epoch: 88, train loss: 7.7796e-03, train psnr: 39.32
epoch: 89, train loss: 7.1985e-03, train psnr: 40.38
epoch: 90, train loss: 7.4428e-03, train psnr: 39.33
epoch: 90, val psnr: 40.17, val ssim: 0.9408
epoch: 91, train loss: 7.0997e-03, train psnr: 40.22
epoch: 92, train loss: 7.4540e-03, train psnr: 39.81
epoch: 93, train loss: 7.5762e-03, train psnr: 40.07
epoch: 94, train loss: 7.3564e-03, train psnr: 39.85
epoch: 95, train loss: 7.6674e-03, train psnr: 39.44
epoch: 95, val psnr: 40.75, val ssim: 0.9462
epoch: 96, train loss: 7.3740e-03, train psnr: 39.90
epoch: 97, train loss: 7.7104e-03, train psnr: 39.34
epoch: 98, train loss: 7.2164e-03, train psnr: 39.99
epoch: 99, train loss: 8.1698e-03, train psnr: 39.00
epoch: 100, train loss: 7.1104e-03, train psnr: 40.01
epoch: 100, val psnr: 41.04, val ssim: 0.9477
epoch: 101, train loss: 7.8186e-03, train psnr: 39.54
epoch: 102, train loss: 7.1928e-03, train psnr: 39.88
epoch: 103, train loss: 7.7032e-03, train psnr: 39.55
epoch: 104, train loss: 7.2655e-03, train psnr: 39.78
epoch: 105, train loss: 6.9087e-03, train psnr: 40.30
epoch: 105, val psnr: 40.60, val ssim: 0.9421
epoch: 106, train loss: 7.7779e-03, train psnr: 39.22
epoch: 107, train loss: 8.0327e-03, train psnr: 39.12
epoch: 108, train loss: 7.2352e-03, train psnr: 39.85
epoch: 109, train loss: 7.7079e-03, train psnr: 39.33
epoch: 110, train loss: 8.4642e-03, train psnr: 38.54
epoch: 110, val psnr: 41.36, val ssim: 0.9529
epoch: 111, train loss: 7.1751e-03, train psnr: 40.05
epoch: 112, train loss: 7.7625e-03, train psnr: 39.61
epoch: 113, train loss: 7.3878e-03, train psnr: 39.68
epoch: 114, train loss: 7.7026e-03, train psnr: 39.72
epoch: 115, train loss: 7.3345e-03, train psnr: 40.16
epoch: 115, val psnr: 41.40, val ssim: 0.9462
epoch: 116, train loss: 7.2499e-03, train psnr: 39.85
epoch: 117, train loss: 6.6750e-03, train psnr: 40.13
epoch: 118, train loss: 7.1257e-03, train psnr: 39.90
epoch: 119, train loss: 7.8970e-03, train psnr: 39.46
epoch: 120, train loss: 7.3704e-03, train psnr: 40.00
epoch: 120, val psnr: 41.51, val ssim: 0.9564
epoch: 121, train loss: 7.0832e-03, train psnr: 40.26
epoch: 122, train loss: 7.1875e-03, train psnr: 40.40
epoch: 123, train loss: 6.6569e-03, train psnr: 40.66
epoch: 124, train loss: 7.3832e-03, train psnr: 39.91
epoch: 125, train loss: 7.7242e-03, train psnr: 39.30
epoch: 125, val psnr: 40.48, val ssim: 0.9432
epoch: 126, train loss: 7.6068e-03, train psnr: 39.43
epoch: 127, train loss: 7.6884e-03, train psnr: 39.71
epoch: 128, train loss: 7.0238e-03, train psnr: 40.25
epoch: 129, train loss: 6.5851e-03, train psnr: 40.78
epoch: 130, train loss: 7.5920e-03, train psnr: 39.61
epoch: 130, val psnr: 40.83, val ssim: 0.9499
epoch: 131, train loss: 7.0108e-03, train psnr: 40.02
epoch: 132, train loss: 7.1939e-03, train psnr: 40.21
epoch: 133, train loss: 7.1945e-03, train psnr: 40.02
